SERIALNO,PWGTP,age,gender,marriage_status,income
113989,43,36,Male,Married,95000.0
113989,47,30,Female,Married,0.0
113989,33,11,Female,Never married or under 15 years old,
113989,38,8,Male,Never married or under 15 years old,
113989,38,7,Male,Never married or under 15 years old,
113989,53,4,Male,Never married or under 15 years old,
114021,93,67,Female,Married,80000.0
114021,114,68,Male,Married,0.0
115162,92,55,Male,Divorced,130000.0
115573,103,58,Male,Never married or under 15 years old,67000.0
117893,111,24,Male,Never married or under 15 years old,2000.0
117993,66,25,Female,Never married or under 15 years old,27000.0
117993,94,1,Female,Never married or under 15 years old,
118542,63,72,Female,Married,31300.0
118542,46,75,Male,Married,34200.0
119017,66,32,Female,Married,48000.0
119017,51,38,Male,Married,45000.0
119039,53,34,Male,Married,80000.0
119039,42,33,Female,Married,20000.0
119039,34,3,Male,Never married or under 15 years old,
119039,34,2,Male,Never married or under 15 years old,
119464,148,42,Male,Never married or under 15 years old,12000.0
119581,53,58,Male,Married,170000.0
119581,44,58,Female,Married,6000.0
120344,92,57,Female,Widowed,7000.0
120426,118,33,Female,Never married or under 15 years old,60000.0
120426,92,33,Male,Never married or under 15 years old,50000.0
120802,35,54,Female,Divorced,49000.0
120802,244,33,Male,Never married or under 15 years old,39000.0
121341,39,47,Male,Married,50000.0
121341,32,36,Female,Married,0.0
121341,45,50,Female,Divorced,0.0
121828,65,63,Male,Married,425000.0
121828,82,50,Female,Married,0.0
121828,78,14,Male,Never married or under 15 years old,
122567,47,45,Male,Married,130000.0
122567,47,43,Female,Married,24000.0
122567,57,12,Female,Never married or under 15 years old,
122734,156,57,Female,Never married or under 15 years old,0.0
123202,134,33,Male,Married,10000.0
123202,102,34,Female,Married,80000.0
123202,111,11,Male,Never married or under 15 years old,
123202,117,10,Female,Never married or under 15 years old,
123592,30,76,Male,Divorced,0.0
124001,129,54,Female,Divorced,41000.0
124001,139,19,Male,Never married or under 15 years old,11000.0
124001,132,17,Female,Never married or under 15 years old,12000.0
124017,61,38,Male,Married,40000.0
124017,66,32,Female,Married,39000.0
124017,58,2,Female,Never married or under 15 years old,
124378,21,64,Male,Widowed,0.0
124408,67,53,Male,Never married or under 15 years old,0.0
124491,458,41,Female,Married,0.0
124491,186,47,Male,Married,55000.0
124491,403,12,Female,Never married or under 15 years old,
124491,402,12,Female,Never married or under 15 years old,
124882,73,28,Male,Married,14400.0
124882,68,25,Female,Married,11000.0
126208,73,42,Female,Married,1500.0
126208,165,38,Male,Married,78000.0
126208,158,7,Male,Never married or under 15 years old,
126208,156,4,Male,Never married or under 15 years old,
128090,59,70,Female,Divorced,19500.0
128169,164,93,Female,Widowed,0.0
128350,97,43,Male,Married,100000.0
128350,65,44,Female,Married,0.0
128350,75,14,Male,Never married or under 15 years old,
129018,96,78,Female,Married,5000.0
129018,134,75,Male,Married,0.0
129463,84,50,Female,Never married or under 15 years old,12200.0
129463,72,55,Male,Never married or under 15 years old,29000.0
130413,39,33,Male,Never married or under 15 years old,74000.0
130413,69,29,Male,Never married or under 15 years old,52000.0
130705,146,50,Female,Divorced,425000.0
131295,113,73,Female,Divorced,2400.0
131774,82,24,Male,Married,55000.0
131774,98,25,Female,Married,1500.0
131774,37,0,Female,Never married or under 15 years old,
131908,380,57,Female,Divorced,20000.0
131908,693,18,Male,Never married or under 15 years old,0.0
132156,58,40,Female,Divorced,42000.0
132976,21,19,Female,Never married or under 15 years old,6000.0
133235,684,36,Female,Married,14000.0
133235,1325,39,Male,Separated,0.0
134349,60,70,Male,Widowed,0.0
134464,122,24,Male,Never married or under 15 years old,8000.0
134601,42,61,Female,Divorced,0.0
134708,52,37,Female,Married,20000.0
134708,79,43,Male,Married,40000.0
134708,117,20,Male,Never married or under 15 years old,5000.0
134708,152,17,Female,Never married or under 15 years old,0.0
134708,152,10,Female,Never married or under 15 years old,
134708,132,70,Female,Married,0.0
135202,62,54,Female,Married,33600.0
135202,66,59,Male,Married,60000.0
135202,65,27,Male,Never married or under 15 years old,11000.0
135758,618,33,Female,Married,1400.0
135758,442,35,Male,Married,36000.0
135758,421,13,Female,Never married or under 15 years old,
135758,422,11,Female,Never married or under 15 years old,
136085,79,31,Male,Married,80000.0
136085,149,40,Female,Married,70000.0
136630,87,31,Male,Married,70000.0
136630,181,29,Female,Married,8000.0
